Date,Week,Location,Total Vaccines Given,Total J&J Vaccines,Total Moderna Vaccines,Total Pfizer Vaccines,second_booster_janssen,second_booster_moderna,second_booster_pfizer,Total Booster Given 18+,Total Booster Given 18+ %,Total Booster Given 65+,Total Booster Given 65+ %
04-19-2023,16,MA,23564450,633500,7490080,11662830,285,669633,805749,1939319,0.35,751222,0.642
04-19-2023,16,TX,80303035,2667600,25478340,43584365,114,1219111,1500737,2985056,0.138,1236284,0.331
04-19-2023,16,VI,172840,3400,44240,115760,1,900,1259,3924,0.048,2244,0.11
04-19-2023,16,NE,5447670,152400,1647380,2904460,131,107065,216169,314648,0.216,148770,0.476
04-19-2023,16,NY,61002805,1964500,18769880,32657655,2037,1147310,1614046,3201295,0.208,1372735,0.416
04-19-2023,16,FM,291840,12800,127940,115460,4,5949,9750,11908,0.178,1132,0.235
04-19-2023,16,ME,4940730,159400,1595120,2361030,122,143067,211613,387904,0.354,197486,0.6920000000000001
04-19-2023,16,OR,14077635,466700,4482360,7060535,355,318601,555714,861609,0.257,365130,0.477
04-19-2023,16,HI,4625020,124900,1504020,2369320,123,145929,162998,299140,0.268,140066,0.522
04-19-2023,16,CT,11815595,355100,3940280,5856215,121,311108,393319,845435,0.298,376176,0.597
04-19-2023,16,MI,29420430,967800,9925120,14452250,520,698884,948315,1674188,0.213,813476,0.461
04-19-2023,16,UT,8387430,257900,2420360,4652010,360,125820,288956,418773,0.184,163042,0.446
04-19-2023,16,BP2,420530,16200,172520,199110,3,2634,6155,9774,0.0,677,0.0
04-19-2023,16,WV,5487725,172600,1967420,2696125,79,91975,111400,201641,0.141,113816,0.31
04-19-2023,16,IN,18865680,634000,5571300,10052520,522,268736,463843,701563,0.136,355954,0.3279999999999999
04-19-2023,16,AK,2158775,86200,718520,1079425,63,41333,53482,94473,0.171,38703,0.423
04-19-2023,16,MP,151290,3700,28020,108950,1,546,3543,3987,0.111,790,0.21
04-19-2023,16,KY,12138795,395600,4310000,5909535,321,215098,293985,531313,0.153,271629,0.362
04-19-2023,16,AZ,19809520,621000,6493320,10188940,1237,418365,588143,1049816,0.186,508856,0.389
04-19-2023,16,ID,4723700,160200,1604380,2346190,102,88888,126755,232080,0.173,120134,0.413
04-19-2023,16,MH,162240,12800,74500,53540,0,3186,1520,4378,0.092,354,0.095
04-19-2023,16,RI,3502665,90600,1154400,1754745,178,101480,127014,254409,0.298,109933,0.588
04-19-2023,16,SD,2698115,94000,882400,1326385,27,41244,65512,145310,0.218,74402,0.49
04-19-2023,16,TN,17086050,533400,5670340,8759050,785,299644,412865,668317,0.126,345533,0.302
04-19-2023,16,VT,2568390,74200,831220,1244690,72,62782,119266,193179,0.379,84025,0.672
04-19-2023,16,PR,8826050,216600,2843120,5014090,252,186812,249300,321564,0.123,162973,0.24
04-19-2023,16,OK,9654850,342300,3591280,4611140,183,161889,204130,452142,0.15,236295,0.372
04-19-2023,16,DC,2740425,73200,795480,1425045,95,60305,86014,208088,0.36,49326,0.565
04-19-2023,16,MD,22191960,616400,6422360,11813400,862,527907,777713,1338510,0.284,527274,0.55
04-19-2023,16,NM,6135585,190600,2020200,3002385,283,162684,210816,429631,0.265,195867,0.519
04-19-2023,16,VA,26647335,803400,8071900,14048145,939,613537,905150,1654092,0.248,689041,0.507
04-19-2023,16,GA,28576865,869100,9763000,14773655,481,408607,537045,1046836,0.129,465167,0.307
04-19-2023,16,FL,61163245,2477700,20028720,31997445,2454,1104891,1309587,2388440,0.138,1367473,0.304
04-19-2023,16,IL,38081595,1185600,11169140,19851535,1269,916789,1452624,2372801,0.241,1005900,0.492
04-19-2023,16,PA,42573565,1569200,13941120,21178525,525,743791,1058798,2248145,0.221,1093961,0.457
04-19-2023,16,MO,15573305,441000,5140460,7967645,234,295129,444946,852872,0.179,428842,0.4039999999999999
04-19-2023,16,AS,128480,600,25000,100770,0,532,1914,565,0.018,199,0.061
04-19-2023,16,ND,1898390,53600,600920,990720,7,28235,62449,111741,0.192,56554,0.472
04-19-2023,16,MN,18377260,511500,5378420,9466900,337,474741,904954,1380275,0.318,593305,0.645
04-19-2023,16,AR,8333870,265400,3075220,4016440,125,139374,152912,314007,0.135,172881,0.33
04-19-2023,16,IA,9356535,293100,3077920,4577895,109,223283,354448,591156,0.243,304196,0.55
04-19-2023,16,WI,16364595,457200,5144600,8183105,257,473825,753157,1231641,0.27,589168,0.579
04-19-2023,16,LA,10240590,330500,3807980,5164550,180,159290,214482,342438,0.096,180828,0.244
04-19-2023,16,GU,386180,25100,99980,232940,7,8100,11838,16395,0.143,4429,0.276
04-19-2023,16,MS,7216515,235400,2600260,3695395,160,102662,112418,192327,0.084,109160,0.2239999999999999
04-19-2023,16,VA2,9851220,626900,4250780,3780780,58,299539,276909,867572,0.0,562148,0.0
04-19-2023,16,SC,14128205,466400,5125140,6858095,265,229882,284703,572684,0.142,322858,0.345
04-12-2023,15,MT,2698655,106500,952100,1266975,132,62503,87361,159891,0.19,84771,0.411
04-12-2023,15,KY,12115175,395600,4309900,5902195,321,214883,293553,530949,0.153,271713,0.362
04-12-2023,15,NJ,29382140,1015900,9139640,15474710,934,547543,727990,1409827,0.203,593629,0.402
04-12-2023,15,AK,2157135,86200,718520,1078465,63,41272,53355,94454,0.171,38774,0.423
04-12-2023,15,RI,3496965,90500,1153160,1754745,178,101330,126807,254756,0.298,110352,0.59
04-12-2023,15,MH,162240,12800,74500,53540,0,3150,1429,4145,0.087,340,0.091
04-12-2023,15,AZ,19778350,621000,6492920,10181440,1233,417559,586961,1046558,0.186,509074,0.389
04-12-2023,15,CT,11850535,355800,3950760,5881105,121,310822,392701,845248,0.298,376628,0.598
04-12-2023,15,CO,17656855,501900,5402640,9023755,468,419151,726946,1173796,0.261,460201,0.546
04-12-2023,15,LA,10234460,330500,3807980,5164010,180,159029,214111,341820,0.096,180753,0.244
04-12-2023,15,NV,7671550,260400,2313400,4208030,57,129526,193965,377198,0.158,180138,0.363
04-12-2023,15,ID,4717760,160200,1604380,2344390,101,88740,126475,232146,0.173,120231,0.414
